	wav	flux
198	1.77262	0.15723
199	1.77315	0.15591
200	1.7736900000000002	0.16096
201	1.7742200000000001	0.16385
202	1.77476	0.16425
203	1.77529	0.16205
204	1.77583	0.15925999999999998
205	1.77637	0.15825999999999998
206	1.7769	0.15725999999999998
207	1.7774400000000001	0.15925999999999998
208	1.77797	0.16036
209	1.7785099999999998	0.16052
210	1.7790400000000002	0.15941
211	1.77958	0.15947
212	1.7801200000000001	0.16080999999999998
213	1.78065	0.16111
214	1.78119	0.15880999999999998
215	1.78172	0.15758
216	1.78226	0.1551
217	1.78279	0.15979000000000002
218	1.7833299999999999	0.15913
219	1.78387	0.15642
220	1.7844	0.15755999999999998
221	1.7849400000000002	0.15987
222	1.7854700000000001	0.16032000000000002
223	1.7860099999999999	0.16251
224	1.7865400000000002	0.16222
225	1.78708	0.16057000000000002
226	1.78762	0.16008
227	1.78815	0.16346
228	1.7886900000000001	0.16215
229	1.78922	0.16061
230	1.7897599999999998	0.1639
231	1.7902900000000002	0.16103
232	1.79083	0.15800999999999998
233	1.7913700000000001	0.15971
234	1.7919	0.16045
235	1.7924400000000003	0.15954000000000002
236	1.7929700000000002	0.16145
237	1.79351	0.16199000000000002
238	1.79404	0.16134
239	1.7945799999999998	0.1595
240	1.79512	0.1595
241	1.79565	0.16089
242	1.7961900000000002	0.16332
243	1.79672	0.16459000000000001
244	1.7972599999999999	0.1629
245	1.7977900000000002	0.16499
246	1.79833	0.16516
247	1.79887	0.16384
248	1.7994	0.1656
249	1.79994	0.16382
250	1.80047	0.16391
251	1.8010099999999998	0.1626
252	1.8015400000000001	0.16215
253	1.80208	0.16087
254	1.8026200000000001	0.1589
255	1.80315	0.15939
256	1.8036900000000002	0.16097999999999998
257	1.8042200000000002	0.16083
258	1.80476	0.16338
259	1.80529	0.16505
260	1.8058299999999998	0.16577999999999998
261	1.80637	0.1656
262	1.8069	0.16312000000000001
263	1.8074400000000002	0.16063
264	1.80797	0.16025
265	1.8085099999999998	0.16138
266	1.8090400000000002	0.16102
267	1.80958	0.15939
268	1.8101200000000002	0.15845
269	1.81065	0.1591
270	1.81119	0.16194
271	1.81172	0.16105
272	1.8122599999999998	0.15999000000000002
273	1.8127900000000001	0.16104000000000002
274	1.8133299999999999	0.15711
275	1.81387	0.15631
276	1.8144	0.16095
277	1.8149400000000002	0.16122
278	1.8154700000000001	0.15839
279	1.81601	0.15569000000000002
280	1.81654	0.15588
281	1.81708	0.15846
282	1.81761	0.16042
283	1.81815	0.15919
284	1.8186900000000001	0.15857000000000002
285	1.81922	0.16007000000000002
286	1.8197599999999998	0.15804
287	1.8202900000000002	0.15595
288	1.82083	0.15830999999999998
289	1.8213599999999999	0.16087
290	1.8219	0.16142
291	1.82244	0.15964
292	1.82297	0.1585
293	1.82351	0.15699000000000002
294	1.82404	0.15657000000000001
295	1.8245799999999999	0.15645
296	1.8251099999999998	0.15700999999999998
297	1.82565	0.1595
298	1.8261900000000002	0.16029000000000002
299	1.8267200000000001	0.15767
300	1.8272599999999999	0.16034
301	1.8277900000000002	0.15930999999999998
302	1.82833	0.15863
303	1.82886	0.16103
304	1.8294	0.16076
305	1.8299400000000001	0.15955
306	1.83047	0.15807000000000002
307	1.8310099999999998	0.15719
308	1.8315400000000002	0.15795
309	1.83208	0.15687
310	1.8326099999999999	0.15648
311	1.83315	0.15665
312	1.83369	0.15725
313	1.8342200000000002	0.15942
314	1.83476	0.15883
315	1.83529	0.15784
316	1.8358299999999999	0.15841
317	1.8363599999999998	0.15653
318	1.8369	0.15619
319	1.8374400000000002	0.15644
320	1.83797	0.15567
321	1.8385099999999999	0.15657000000000001
322	1.8390400000000002	0.15624000000000002
323	1.83958	0.15566
324	1.84011	0.15445
325	1.84065	0.15414
326	1.84119	0.15596
327	1.84172	0.15733
328	1.8422599999999998	0.15492999999999998
329	1.8427900000000002	0.15314
330	1.84333	0.15472
331	1.8438599999999998	0.15655
332	1.8444	0.15763
333	1.8449400000000002	0.15834
334	1.8454700000000002	0.15777
335	1.84601	0.15638
336	1.84654	0.15744
337	1.8470799999999998	0.15691
338	1.8476099999999998	0.15717
339	1.84815	0.15794
340	1.8486900000000002	0.15519000000000002
341	1.84922	0.15646
342	1.8497599999999998	0.15713
343	1.8502900000000002	0.15481
344	1.85083	0.15317999999999998
345	1.85136	0.15515
346	1.8519	0.1566
347	1.85244	0.1531
348	1.85297	0.1533
349	1.8535099999999998	0.15564
350	1.8540400000000001	0.15498
351	1.85458	0.15562
352	1.8551099999999998	0.15725
353	1.85565	0.15506
354	1.8561900000000002	0.15299000000000001
355	1.8567200000000001	0.1549
356	1.85726	0.15652
357	1.85779	0.15457
358	1.85833	0.15412
359	1.85886	0.15555
360	1.8594	0.15585
361	1.8599299999999999	0.15399000000000002
362	1.86047	0.15279
363	1.8610099999999998	0.15349000000000002
364	1.8615400000000002	0.1543
365	1.86208	0.15471
366	1.8626099999999999	0.15508
367	1.86315	0.155
368	1.86368	0.15512
369	1.86422	0.15475999999999998
370	1.8647599999999998	0.15323
371	1.8652900000000001	0.15369000000000002
372	1.8658299999999999	0.15392999999999998
373	1.8663599999999998	0.15453
374	1.8669	0.15536
375	1.86743	0.15567
376	1.8679700000000001	0.15442999999999998
377	1.86851	0.1533
378	1.86904	0.15292
379	1.86958	0.15212
380	1.87011	0.15294000000000002
381	1.87065	0.15306
382	1.8711799999999998	0.15242999999999998
383	1.87172	0.15137
384	1.8722599999999998	0.15295
385	1.8727900000000002	0.15531
386	1.87333	0.15486
387	1.8738599999999999	0.15311
388	1.8744	0.15385
389	1.87493	0.15478
390	1.87547	0.15336
391	1.87601	0.15192999999999998
392	1.87654	0.15161
393	1.8770799999999999	0.15123
394	1.8776099999999998	0.15179
395	1.87815	0.15219000000000002
396	1.87868	0.15342
397	1.8792200000000001	0.15420999999999999
398	1.8797599999999999	0.15281
399	1.8802900000000002	0.15067
400	1.88083	0.15043
401	1.88136	0.1515
402	1.8819	0.15289
403	1.8824299999999998	0.15361
404	1.88297	0.15358
405	1.8835099999999998	0.15434
406	1.8840400000000002	0.15345999999999999
407	1.88458	0.15194000000000002
408	1.8851099999999998	0.15256
409	1.88565	0.15431
410	1.88618	0.1549
411	1.8867200000000002	0.15461
412	1.88726	0.15589
413	1.88779	0.15467999999999998
414	1.8883299999999998	0.15262
415	1.8888599999999998	0.1523
416	1.8894	0.15325999999999998
417	1.8899299999999999	0.15349000000000002
418	1.89047	0.15177000000000002
419	1.8910099999999999	0.1516
420	1.8915400000000002	0.15200999999999998
421	1.89208	0.15306
422	1.89261	0.15565
423	1.89315	0.15565
424	1.89368	0.15288
425	1.89422	0.15214
426	1.8947599999999998	0.15170999999999998
427	1.8952900000000001	0.1514
428	1.89583	0.1523
429	1.8963599999999998	0.1516
430	1.8969	0.15049
431	1.89743	0.15162
432	1.8979700000000002	0.15192
433	1.8985	0.15169000000000002
434	1.89904	0.15162
435	1.8995799999999998	0.15173
436	1.9001099999999997	0.15141
437	1.90065	0.15128
438	1.9011799999999999	0.15123
439	1.90172	0.15135
440	1.90225	0.15324000000000002
441	1.9027900000000002	0.15284
442	1.90333	0.15006
443	1.9038599999999999	0.14977000000000001
444	1.9044	0.15133
445	1.90493	0.15207
446	1.90547	0.15186
447	1.906	0.1513
448	1.9065400000000001	0.15188
449	1.9070799999999999	0.15284
450	1.9076099999999998	0.15194000000000002
451	1.90815	0.15050999999999998
452	1.90868	0.14956
453	1.9092200000000001	0.15061
454	1.90975	0.1523
455	1.91029	0.15227000000000002
456	1.91083	0.15195
457	1.91136	0.15235
458	1.9119	0.15285
459	1.9124299999999999	0.15234
460	1.91297	0.15183
461	1.9135	0.15095
462	1.9140400000000002	0.15075
463	1.91458	0.15236
464	1.9151099999999999	0.15266
465	1.91565	0.15254
466	1.91618	0.15207
467	1.91672	0.15061
468	1.91725	0.15070999999999998
469	1.91779	0.15159
470	1.9183299999999999	0.15168
471	1.9188599999999998	0.15088
472	1.9194	0.15014
473	1.91993	0.15068
474	1.9204700000000001	0.15120999999999998
475	1.921	0.15167
476	1.9215400000000002	0.15181
477	1.92208	0.15116
478	1.92261	0.15057
479	1.92315	0.14972
480	1.9236799999999998	0.14915
481	1.92422	0.14964
482	1.92475	0.15081
483	1.9252900000000002	0.15117
484	1.92583	0.14979
485	1.9263599999999999	0.14832
486	1.9269	0.1475
487	1.92743	0.14847
488	1.9279700000000002	0.14902
489	1.9285	0.14903
490	1.92904	0.14847
491	1.9295799999999999	0.14812999999999998
492	1.9301099999999998	0.14882
493	1.93065	0.14994000000000002
494	1.93118	0.15070999999999998
495	1.93172	0.15052000000000001
496	1.93225	0.14981
497	1.9327900000000002	0.14911
498	1.93333	0.14826
499	1.93386	0.14947
500	1.9344	0.14958
501	1.9349299999999998	0.14809
502	1.93547	0.14661
503	1.936	0.14678
504	1.9365400000000002	0.14853
505	1.93708	0.14924
506	1.9376099999999998	0.14981
507	1.93815	0.15018
508	1.93868	0.1489
509	1.9392200000000002	0.14762
510	1.93975	0.14747000000000002
511	1.94029	0.1489
512	1.94082	0.14964
513	1.9413599999999998	0.14951
514	1.9419	0.14991
515	1.9424299999999999	0.14895999999999998
516	1.94297	0.14886
517	1.9435	0.14906
518	1.9440400000000002	0.14851
519	1.9445700000000001	0.14853
520	1.94511	0.14751
521	1.94565	0.14695999999999998
522	1.94618	0.14812
523	1.94672	0.14842
524	1.94725	0.14778
525	1.9477900000000001	0.1475
526	1.94832	0.14873
527	1.9488599999999998	0.14775
528	1.9494	0.14569000000000001
529	1.94993	0.14594000000000001
530	1.9504700000000001	0.14679
531	1.951	0.14704
532	1.95154	0.14705
533	1.95207	0.14743
534	1.95261	0.14787
535	1.95315	0.14756
536	1.9536799999999999	0.14749
537	1.95422	0.14952000000000001
538	1.95475	0.15004
539	1.9552900000000002	0.14743
540	1.9558200000000001	0.14603
541	1.9563599999999999	0.14727
542	1.9569	0.14732
543	1.95743	0.14681
544	1.95797	0.14712999999999998
545	1.9585	0.14714000000000002
546	1.9590400000000001	0.147
547	1.95957	0.14690999999999999
548	1.9601099999999998	0.14702
549	1.96065	0.14672000000000002
550	1.96118	0.14735
551	1.9617200000000001	0.14761
552	1.96225	0.14687
553	1.96279	0.14551
554	1.9633200000000002	0.1453
555	1.96386	0.14607
556	1.9644	0.14614000000000002
557	1.9649299999999998	0.14584
558	1.96547	0.14439000000000002
559	1.966	0.14434
560	1.9665400000000002	0.14634
561	1.96707	0.14761
562	1.9676099999999999	0.14693
563	1.96815	0.1461
564	1.96868	0.14707
565	1.96922	0.14799
566	1.96975	0.14736
567	1.97029	0.14661
568	1.97082	0.14574
569	1.9713599999999998	0.14525
570	1.9719	0.14531
571	1.97243	0.14535
572	1.9729700000000001	0.145
573	1.9735	0.14531
574	1.9740400000000002	0.14652
575	1.9745700000000002	0.1468
576	1.97511	0.14645999999999998
577	1.97565	0.14715
578	1.9761799999999998	0.14715999999999999
579	1.97672	0.14561
580	1.97725	0.14437
581	1.9777900000000002	0.14397000000000001
582	1.97832	0.14382
583	1.9788599999999998	0.14376
584	1.9794	0.14451
585	1.97993	0.14558
586	1.9804700000000002	0.14602
587	1.981	0.14564000000000002
588	1.98154	0.14467
589	1.98207	0.14415999999999998
590	1.9826099999999998	0.14389000000000002
591	1.9831400000000001	0.14492
592	1.9836799999999999	0.14618
593	1.98422	0.14545
594	1.98475	0.14357
595	1.9852900000000002	0.14399
596	1.9858200000000001	0.14518
597	1.98636	0.14511
598	1.98689	0.14469
599	1.98743	0.14373
600	1.98797	0.1429
601	1.9885	0.14317
602	1.9890400000000001	0.14364000000000002
603	1.98957	0.14347000000000001
604	1.9901099999999998	0.14228
605	1.9906400000000002	0.14262
606	1.99118	0.14406
607	1.9917200000000002	0.14397000000000001
608	1.99225	0.14404
609	1.99279	0.14313
610	1.99332	0.14209000000000002
611	1.9938599999999997	0.14214000000000002
612	1.99439	0.14222
613	1.9949299999999999	0.14315
614	1.99547	0.14359
615	1.996	0.14331
616	1.9965400000000002	0.14302
617	1.9970700000000001	0.14240999999999998
618	1.9976099999999999	0.14239000000000002
619	1.9981400000000002	0.14352
620	1.99868	0.14418
621	1.99922	0.14418
622	1.99975	0.14402
623	2.00029	0.14322000000000001
624	2.00082	0.14218
625	2.00136	0.14096
626	2.00189	0.14148
627	2.00243	0.14237
628	2.00297	0.14259000000000002
629	2.0035	0.14329
630	2.0040400000000003	0.14363
631	2.00457	0.14243
632	2.0051099999999997	0.14088
633	2.00564	0.14069
634	2.00618	0.14132999999999998
635	2.00672	0.14156
636	2.00725	0.14174
637	2.00779	0.14162
638	2.00832	0.14095
639	2.00886	0.14112
640	2.0093900000000002	0.14255
641	2.0099299999999998	0.1424
642	2.01047	0.14109000000000002
643	2.011	0.1414
644	2.01154	0.14225
645	2.01207	0.14192000000000002
646	2.01261	0.14121
647	2.01314	0.14079
648	2.01368	0.14043
649	2.01422	0.14037
650	2.01475	0.1408
651	2.0152900000000002	0.14238
652	2.01582	0.14275
653	2.0163599999999997	0.14076
654	2.01689	0.13988
655	2.01743	0.1403
656	2.01797	0.13995
657	2.0185	0.13893
658	2.01904	0.13979
659	2.01957	0.14197
660	2.02011	0.14193
661	2.02064	0.14015999999999998
662	2.0211799999999998	0.13973
663	2.0217099999999997	0.14038
664	2.02225	0.14084000000000002
665	2.02279	0.14059000000000002
666	2.02332	0.14006
667	2.02386	0.14040999999999998
668	2.0243900000000004	0.14084000000000002
669	2.02493	0.14042000000000002
670	2.02546	0.13946
671	2.026	0.13832
672	2.0265400000000002	0.13815
673	2.02707	0.13928
674	2.0276099999999997	0.14
675	2.02814	0.14059000000000002
676	2.02868	0.14159000000000002
677	2.02921	0.14098
678	2.02975	0.13976
679	2.03029	0.13932
680	2.0308200000000003	0.13835999999999998
681	2.03136	0.13782
682	2.03189	0.13918
683	2.0324299999999997	0.14104
684	2.0329599999999997	0.14074
685	2.0335	0.13910999999999998
686	2.03404	0.13906
687	2.03457	0.1391
688	2.03511	0.13852
689	2.0356400000000003	0.13873
690	2.03618	0.13927
691	2.03671	0.13939000000000001
692	2.03725	0.13837
693	2.03779	0.13775
694	2.03832	0.13806
695	2.0388599999999997	0.13849
696	2.03939	0.13796
697	2.03993	0.13737
698	2.04046	0.13831
699	2.041	0.13997
700	2.0415400000000004	0.13982
701	2.0420700000000003	0.13867000000000002
702	2.04261	0.13751
703	2.04314	0.13697
704	2.0436799999999997	0.13749
705	2.0442099999999996	0.13751
706	2.04475	0.13685999999999998
707	2.04529	0.13727999999999999
708	2.04582	0.13707
709	2.04636	0.13644
710	2.0468900000000003	0.13691
711	2.04743	0.13805
712	2.04796	0.14085999999999999
713	2.0485	0.14372000000000001
714	2.04904	0.14240999999999998
715	2.04957	0.1394
716	2.0501099999999997	0.1378
717	2.05064	0.13668
718	2.05118	0.13691
719	2.05171	0.13743
720	2.05225	0.13624
721	2.0527900000000003	0.13534000000000002
722	2.0533200000000003	0.13584000000000002
723	2.05386	0.13587
724	2.05439	0.13502
725	2.05493	0.13482
726	2.05546	0.13572
727	2.056	0.1363
728	2.05654	0.13623
729	2.05707	0.13623
730	2.05761	0.13632
731	2.0581400000000003	0.13635999999999998
732	2.05868	0.13597
733	2.0592099999999998	0.13596
734	2.05975	0.13577
735	2.06029	0.13564
736	2.06082	0.13615
737	2.0613599999999996	0.13592
738	2.06189	0.1348
739	2.06243	0.13445
740	2.06296	0.13498
741	2.0635	0.13498
742	2.06403	0.1345
743	2.0645700000000002	0.13430999999999998
744	2.06511	0.13504000000000002
745	2.06564	0.13658
746	2.06618	0.1362
747	2.06671	0.13455999999999999
748	2.06725	0.13395
749	2.06778	0.13384000000000001
750	2.06832	0.13410999999999998
751	2.06886	0.1348
752	2.0693900000000003	0.13581
753	2.06993	0.1359
754	2.0704599999999997	0.13546
755	2.071	0.13526
756	2.07153	0.13501
757	2.07207	0.13477
758	2.07261	0.13471
759	2.07314	0.13505999999999999
760	2.07368	0.13532
761	2.07421	0.13423
762	2.07475	0.13358
763	2.07528	0.13363
764	2.07582	0.13283
765	2.0763599999999998	0.13315
766	2.07689	0.13452999999999998
767	2.07743	0.13537000000000002
768	2.07796	0.13484000000000002
769	2.0785	0.13341
770	2.07903	0.13260999999999998
771	2.07957	0.13255999999999998
772	2.08011	0.13262000000000002
773	2.0806400000000003	0.13249
774	2.08118	0.13337000000000002
775	2.0817099999999997	0.13468
776	2.08225	0.1342
777	2.08278	0.13313
778	2.08332	0.13265
779	2.08386	0.13255
780	2.08439	0.13205999999999998
781	2.08493	0.13243
782	2.08546	0.13423
783	2.086	0.13471
784	2.0865299999999998	0.13329000000000002
785	2.08707	0.13219
786	2.0876099999999997	0.13210999999999998
787	2.08814	0.13228
788	2.08868	0.13212000000000002
789	2.08921	0.13258
790	2.08975	0.13299
791	2.09028	0.13209
792	2.09082	0.13136
793	2.09136	0.13095
794	2.0918900000000002	0.13067
795	2.09243	0.13080999999999998
796	2.0929599999999997	0.13147
797	2.0935	0.13269
798	2.09403	0.13357
799	2.09457	0.13338
800	2.09511	0.13232
801	2.09564	0.13183
802	2.09618	0.13164
803	2.09671	0.13117
804	2.09725	0.13116
805	2.0977799999999998	0.13104000000000002
806	2.09832	0.13087000000000001
807	2.0988599999999997	0.13089
808	2.09939	0.13096
809	2.09993	0.13097999999999999
810	2.10046	0.13135
811	2.101	0.13147999999999999
812	2.10153	0.13113
813	2.10207	0.13134
814	2.10261	0.13143
815	2.1031400000000002	0.13138
816	2.1036799999999998	0.13157
